# r2_raw  r3_raw  r4_raw  r5_raw  r6_raw
9975122948 11691247925 1578021777 2206507144 -2580131159
11260213014 8576659640 -254020201 508793206 -3066369783
9364399777 4957376784 -1469568624 -542903821 -3216659493
6096515298 1513199191 -1693223935 -838608457 -3006389018
2896023116 -1359045492 -1479703147 -1076167564 -2650790577
427664416 -3938016069 -884740297 -1812050056 -2245261603
-281615619 -6155107969 253388176 -2681244712 -1654121628
1166997162 -7456467412 1124703660 -3210821076 -930745287
3405327213 -7771107986 1032713212 -3567548922 -352649587
4625856081 -7378085661 145706000 -3989316933 -175222658
3590449504 -6767076650 -1186968982 -4559777349 -711923330
66228842 -7361475328 -2198894651 -5231957640 -2084053866
-4245613185 -10745794133 -1890887407 -5644000209 -3616610331
-6858695399 -16335903771 -685955201 -5777834850 -4147233271
-7388447271 -21428657058 63619071 -5978860473 -3315607846
-7143948037 -24363132429 178242817 -6077466821 -1773791819
-6851408970 -25251978336 143037384 -5778261694 -126603246
-6723174353 -24305841326 -7623973 -5322345145 1372333273
-6790370847 -21746641554 24990437 -4990315745 2469611065
-6257864066 -18324165191 606605280 -4793653543 2987728645
-4372585249 -14869753443 1261497747 -4816143479 3016442228
-1768636661 -11810747789 1249520308 -5293724572 2801621230
68231321 -9140397587 577607528 -6251664231 2526294937
570572746 -6873056026 30143665 -7242959807 2297635135
471577072 -4751492379 -77482005 -7859592546 2211354122
162005607 -2253363757 -257429753 -7933683930 2047479542
-636062943 110695915 -479802088 -7050805720 1423280963
-1458958861 1169775119 -254661482 -5114165562 452704047
-1567517036 904988413 154044046 -3074388204 -406669501
