# v_p0  v_p1  v_p2
3345380 372824 -75479
2126741 -277516 153495
3137343 443926 79686
3766777 -34401 -14083
2135845 -165188 151995
3288369 -12726 -87350
2924584 -133950 30233
3536435 -16350 51296
2956360 -109635 30394
2578415 170552 155401
3216886 385129 -10887
3641501 556420 -115741
4147151 645068 -106706
2905931 850389 27401
2327640 592737 39397
2463998 469398 79717
2861530 753073 178636
1301591 5316 183830
2353823 -335627 79918
1431814 -115508 181699
2314620 241934 -69381
2764856 12938 -54011
2967161 501934 -6974
2853655 83515 -29451
2994825 -58500 -1513
3409562 -147547 -120249
2317955 -13363 25533
2524752 37300 -20134
2882188 -105184 -27203
2171149 476839 96606
1595870 -102586 65576
1963210 -195480 60215
2378660 -119563 69153
2511146 -157087 16761
2723115 -111589 42658
1840643 -134327 37209
2242665 -45543 -9927
1981310 116036 71917
2471971 155713 -33153
1935414 -77100 94445
1978903 225953 85863
1844419 -106162 26226
2437482 -382751 5336
2556972 -412298 -8181
2841874 -202532 -43539
3007636 -248460 26720
2096177 -33337 149088
3547566 151447 60401
2039631 -145899 253243
2347672 -288194 99116
2729628 -481190 66338
2616504 -106975 55362
2727227 -93703 23864
2840313 -192559 143192
2938250 -166274 212815
3695468 -611198 147916
2775911 -435450 206131
2751280 -576982 138854
2369485 -605688 215226
2784918 -656608 172958
4661594 -1109888 50663
4865833 -1219566 36389
4246305 -1159510 90438
3439518 -680462 194632
8687858 -755019 -637114
9281883 -1246193 -469921
6896202 -956846 -321788
5309832 -1416908 77895
7432409 -650018 -317329
5125464 -454212 -179873
7944127 -1073708 -487876
4111856 -921502 -20341
6780407 -781847 -204534
6211521 -973318 -178330
4199839 -119249 94838
3809681 -426451 -31328
2415040 91009 159107
4104354 -310519 -114676
3369604 86610 -47396
2913227 -80031 -36964
3837928 86944 -184816
2119896 12146 101510
4262194 261640 -241319
3961289 -168126 -136879
2435287 -9388 -9392
3045713 -129973 -16242
2870720 -68565 10732
3524993 146129 83278
3023566 -118268 -44460
2965085 484575 130380
3849452 230692 -145709
4364031 129608 -273145
5171452 131455 -370623
4200708 655186 -197940
3372113 444699 -178977
3331032 454929 -88760
4308496 874580 -85051
1560897 357131 151383
1954585 -59696 164276
1576963 223281 144221
2520069 51018 -93513
2536677 8806 45571
3727257 358742 -143831
2918754 29104 -32669
2980152 -75453 -22967
2961576 -291389 -24976
2252008 93425 69593
2423166 52873 40763
2664050 -115615 17732
3104578 491008 -90267
1648013 -29404 16080
1806363 -60040 71961
2383766 -205 41885
2276149 -61270 68510
2668301 -24190 37125
1787428 -74545 15967
2270532 -100945 -52221
2290762 200700 8475
2756288 -20652 -123050
1867387 169200 141398
2384335 339121 34309
1750426 -46678 33182
1949164 -306414 65021
1981132 -325425 77930
2462897 -205650 28812
2654830 -122025 95858
2249749 257461 131111
4165545 36637 -157438
2376863 262799 136924
2270928 -160355 37621
2236332 -304585 107841
2593617 -32545 35577
